Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
C0092,22,35.27,6.63,4.97,102,28.4,0,0
C0093,10,37.73,7.11,6.71,498,8.7,0,1
C0094,4,38.05,7.26,6.39,520,11.7,1,1
C0095,22,38.08,7.17,7.21,483,7.6,0,1
C0096,29,35.94,6.57,4.24,128,24.5,0,0
C0097,18,35.83,6.61,4.75,267,22.3,0,0
C0098,26,34.71,6.51,5.36,110,18.5,0,0
C0099,12,36.24,6.65,4.85,113,23.7,0,0
C0100,2,38.21,7.06,6.71,624,10.4,1,1
C0101,10,37.68,7.05,7.16,631,8.2,1,1
C0102,30,38.89,6.97,6.98,559,6.9,1,1
C0103,4,37.4,7.09,6.97,510,5.2,1,1
C0104,14,35.63,6.75,4.37,111,23.1,0,0
C0105,16,35.22,6.58,4.77,95,16.8,0,0
C0106,15,37.66,7.31,6.24,818,11.9,1,1
C0107,8,38.7,7.21,7.15,448,11.2,1,1
C0108,14,36.09,6.74,5.13,129,22.3,0,0
C0109,23,35.77,6.67,4.67,138,18.1,0,0
C0110,28,35.31,6.71,4.43,125,16.0,0,0
C0111,25,37.93,7.27,6.65,700,8.0,1,1
C0112,30,34.08,6.56,4.61,199,19.9,0,0
C0113,8,36.07,6.71,4.93,137,16.5,0,0
C0114,21,34.63,6.56,4.61,78,16.5,0,0
C0115,16,35.32,6.7,4.68,127,26.3,0,0
C0116,13,34.94,6.51,4.85,126,17.4,0,0
C0117,18,34.85,6.73,4.79,124,19.0,0,0
C0118,15,36.08,6.53,4.1,122,18.9,0,0
C0119,21,35.27,6.71,4.36,124,18.7,0,0
C0120,24,35.67,6.71,4.98,135,21.9,0,0
C0121,26,35.48,6.58,4.66,125,22.8,0,0
C0122,25,37.89,7.09,6.69,520,11.1,0,1
C0123,28,35.54,6.68,4.29,164,16.3,0,0
C0124,28,34.86,6.6,4.38,114,23.8,0,0
C0125,28,38.66,7.03,6.9,712,6.8,1,1
C0126,13,35.25,6.45,4.67,111,25.2,0,0
C0127,9,34.72,6.68,4.52,85,13.3,0,0
C0128,29,35.29,6.49,4.41,165,20.6,0,0
C0129,15,36.25,6.66,4.68,117,25.8,0,0
C0130,13,35.93,6.62,4.81,163,18.9,0,0
C0131,1,35.33,6.72,5.33,54,19.3,0,0
C0132,25,35.33,6.62,4.25,206,20.9,0,0
C0133,7,35.34,6.62,5.05,177,18.3,0,0
C0134,9,36.54,6.72,4.99,90,19.1,0,0
C0135,24,35.69,6.68,4.47,91,19.0,0,0
C0136,1,35.72,6.68,4.76,217,18.1,0,0
C0137,12,36.02,6.7,4.56,121,23.7,0,0
C0138,8,35.62,6.5,4.76,117,21.4,0,0
C0139,24,37.76,7.01,6.84,389,7.7,1,1
C0140,11,35.4,6.71,4.88,136,22.4,0,0
C0141,19,35.46,6.55,4.85,141,19.2,0,0
C0142,17,35.48,6.63,4.57,179,17.7,0,0
C0143,8,35.86,6.65,4.25,94,18.2,0,0
C0144,3,35.53,6.64,4.64,89,20.0,0,0
C0145,3,37.96,7.15,6.74,662,10.8,1,1
C0146,1,37.81,7.29,6.63,470,11.1,1,1
C0147,27,35.54,6.76,4.38,87,18.5,0,0
C0148,5,38.8,7.1,6.24,735,9.8,1,1
C0149,10,35.96,6.71,4.4,152,11.7,0,0
C0150,7,35.67,6.78,4.46,194,19.5,0,0
C0151,26,36.0,6.69,4.57,147,25.2,0,0
C0152,9,37.83,7.04,7.05,582,8.0,1,1
C0153,28,36.54,6.85,4.41,144,22.3,0,0
C0154,7,35.43,6.75,4.91,192,20.3,0,0
C0155,9,36.05,6.67,4.31,114,18.0,0,0
C0156,8,34.98,6.75,4.22,134,13.3,0,0
C0157,12,35.81,6.66,4.51,143,20.6,0,0
C0158,2,34.97,6.65,4.92,34,17.7,0,0
C0159,1,35.19,6.61,4.64,217,17.6,0,0
C0160,16,36.46,6.81,4.56,114,18.5,0,0
C0161,23,35.4,6.57,4.71,170,25.2,0,0
C0162,23,35.61,6.8,4.18,147,27.2,0,0
C0163,30,35.94,6.7,4.85,200,20.7,0,0
C0164,24,35.75,6.51,4.82,166,18.6,0,0
C0165,5,37.1,7.14,6.73,364,10.7,1,1
C0166,3,35.68,6.44,5.0,114,21.4,0,0
C0167,12,36.7,6.71,4.36,182,25.3,0,0
C0168,8,35.47,6.74,5.04,75,19.3,0,0
C0169,22,35.6,6.59,4.75,176,12.9,0,0
C0170,27,36.03,6.66,4.6,106,22.0,0,0
C0171,3,36.05,6.85,4.69,200,23.0,0,0
C0172,1,36.09,6.6,4.67,156,15.2,0,0
C0173,3,35.82,6.54,5.07,176,20.5,0,0
C0174,5,34.93,6.8,4.38,153,21.4,0,0
C0175,15,36.32,6.85,4.47,80,19.8,0,0
C0176,14,34.93,6.65,5.01,116,17.6,0,0
C0177,3,35.65,6.75,4.52,177,23.0,0,0
C0178,1,35.12,6.78,4.97,157,18.8,0,0
C0179,5,35.47,6.58,5.21,197,15.5,0,0
C0180,26,35.66,6.6,4.58,166,13.9,0,0
C0181,23,35.66,6.77,4.9,111,23.8,0,0
C0182,14,35.71,6.82,4.35,118,21.8,0,0
C0183,7,36.31,6.71,4.93,154,20.3,0,0
C0184,27,35.73,6.56,4.76,57,18.7,0,0
C0185,9,39.32,7.31,6.01,674,11.1,1,1
C0186,15,37.25,7.26,6.83,661,9.8,1,1
C0187,15,36.09,6.62,4.2,199,18.7,0,0
C0188,26,34.89,6.68,4.85,87,13.6,0,0
C0189,10,38.54,7.1,6.45,952,9.3,1,1
C0190,28,35.85,6.74,4.6,239,19.1,0,0
C0191,13,35.35,6.69,4.98,97,21.8,0,0
C0192,19,36.19,6.7,4.76,181,19.9,0,0
C0193,7,35.42,6.65,5.28,150,22.4,0,0
C0194,17,35.56,6.71,5.01,88,24.0,0,0
C0195,20,35.41,6.4,4.5,170,23.2,0,0
C0196,29,35.51,6.62,4.71,183,21.4,0,0
C0197,4,34.95,6.67,4.69,126,20.0,0,0
C0198,30,34.78,6.53,4.23,197,17.1,0,0
C0199,5,36.3,6.69,4.42,83,22.2,0,0
C0200,23,35.08,6.63,4.53,90,25.0,0,0
C0201,7,35.0,6.83,4.09,155,21.0,0,0
C0202,13,38.63,6.94,6.37,508,7.9,1,1
C0203,15,35.18,6.6,4.63,121,15.4,0,0
C0204,11,34.84,6.63,4.2,182,16.5,0,0
C0205,29,36.32,6.64,4.82,171,22.6,0,0
C0206,4,36.0,6.6,4.91,184,20.8,0,0
C0207,13,35.16,6.67,4.77,145,23.9,0,0
C0208,7,36.63,6.57,4.6,174,20.0,0,0
C0209,27,35.99,6.54,4.88,132,17.4,0,0
C0210,19,35.34,6.71,4.9,232,19.4,0,0
C0211,22,34.25,6.71,4.79,117,15.4,0,0
C0212,28,36.65,6.57,4.45,234,16.6,0,0
C0213,2,34.81,6.74,4.78,151,22.9,0,0
C0214,10,34.68,6.59,5.06,95,22.6,0,0
C0215,13,36.01,6.68,4.52,205,21.1,0,0
C0216,30,38.04,7.11,7.29,650,9.7,1,1
C0217,25,36.19,6.65,4.54,184,18.9,0,0
C0218,21,35.78,6.7,4.71,199,16.3,0,0
C0219,6,35.8,6.6,4.5,164,23.5,0,0
C0220,28,35.93,6.63,4.77,126,18.2,0,0
C0221,28,35.88,6.63,4.18,189,16.7,0,0
C0222,12,35.64,6.58,4.54,150,20.1,0,0
C0223,12,35.55,6.63,4.37,177,18.1,0,0
C0224,20,35.47,6.5,4.74,64,24.5,0,0
C0225,30,35.12,6.6,5.0,168,17.8,0,0
C0226,30,35.36,6.62,4.89,124,15.8,0,0
C0227,11,34.65,6.62,3.99,216,13.5,0,0
C0228,26,35.45,6.63,5.31,175,19.9,0,0
C0229,23,35.01,6.64,4.79,160,18.3,0,0
C0230,28,34.95,6.7,4.47,169,15.7,0,0
C0231,25,35.59,6.74,4.75,110,23.6,0,0
C0232,7,37.31,7.23,6.58,601,9.6,1,1
C0233,30,35.96,6.53,4.5,230,19.9,0,0
C0234,1,34.71,6.55,4.76,166,24.1,0,0
C0235,1,35.01,6.6,4.52,214,22.0,0,0
C0236,25,35.97,6.61,4.58,127,17.5,0,0
C0237,27,35.01,6.57,4.49,118,16.9,0,0
C0238,30,35.39,6.52,4.27,152,22.5,0,0
C0239,25,35.78,6.6,4.74,167,21.2,0,0
C0240,20,35.02,6.67,4.88,134,20.5,0,0
C0241,13,35.55,6.71,4.85,172,17.5,0,0
C0242,9,38.38,7.16,6.78,546,8.8,0,1
C0243,3,35.2,6.61,4.8,110,17.7,0,0
C0244,7,35.66,6.56,4.54,171,19.7,0,0
C0245,6,34.7,6.65,4.95,185,24.3,0,0
C0246,8,38.54,7.21,6.59,768,10.8,1,1
C0247,27,35.49,6.71,4.43,196,15.3,0,0
C0248,9,35.78,6.47,4.41,101,16.8,0,0
C0249,30,37.92,7.13,6.38,566,10.4,1,1
C0250,5,37.63,7.08,7.26,748,8.9,1,1
C0251,1,37.66,7.02,6.63,486,9.5,1,1
C0252,19,35.29,6.92,5.02,125,18.5,0,0
C0253,10,35.56,6.68,4.44,112,21.5,0,0
C0254,12,35.77,6.55,4.8,128,17.5,0,0
C0255,24,37.05,7.18,7.99,496,11.7,1,1
C0256,15,35.52,6.47,4.95,183,17.8,0,0
C0257,27,35.15,6.64,4.67,137,17.3,0,0
C0258,22,35.17,6.57,4.58,87,18.1,0,0
C0259,24,34.8,6.74,4.86,196,18.9,0,0
C0260,9,36.37,6.6,4.96,117,19.9,0,0
C0261,20,34.88,6.64,4.5,148,20.7,0,0
C0262,17,35.15,6.59,4.68,168,8.9,0,0
C0263,30,35.14,6.82,4.38,158,17.6,0,0
C0264,17,35.95,6.62,3.95,194,18.8,0,0
C0265,26,35.35,6.83,4.76,169,24.5,0,0
C0266,20,36.12,6.73,4.88,116,16.8,0,0
C0267,12,35.16,6.7,4.78,237,20.5,0,0
C0268,30,35.64,6.69,4.12,158,24.5,0,0
C0269,7,35.08,6.69,4.59,144,16.1,0,0
C0270,2,36.57,6.46,4.03,189,21.2,0,0
C0271,3,34.91,6.62,5.11,160,17.6,0,0
C0272,17,35.65,6.73,4.37,166,18.5,0,0
C0273,5,35.82,6.65,5.08,250,17.6,0,0
C0274,17,35.71,6.51,4.98,139,17.8,0,0
C0275,24,35.41,6.64,4.43,137,28.2,0,0
C0276,17,38.09,7.01,6.26,528,8.9,1,1
C0277,27,35.52,6.77,4.81,193,23.3,0,0
C0278,17,38.62,7.18,7.01,599,7.2,1,1
C0279,2,35.98,6.75,4.73,71,15.2,0,0
C0280,2,36.61,6.61,4.56,127,21.2,0,0
C0281,28,35.22,6.48,4.17,85,23.2,0,0
C0282,22,34.82,6.56,4.03,133,17.4,0,0
C0283,23,35.46,6.81,4.77,170,22.9,0,0
C0284,5,36.79,6.62,4.53,114,22.1,0,0
C0285,1,35.1,6.63,4.53,93,25.6,0,0
C0286,1,39.38,7.13,7.83,459,9.3,0,1
C0287,19,38.2,7.07,6.1,711,9.3,1,1
C0288,30,37.75,7.14,7.4,388,9.4,1,1
C0289,2,35.78,6.87,4.6,183,24.3,0,0
C0290,21,36.31,6.63,4.85,183,14.5,0,0
C0291,12,37.65,7.05,6.75,524,7.4,0,1
C0292,26,35.4,6.5,4.77,199,20.3,0,0
C0293,6,35.21,6.8,4.87,238,18.7,0,0
C0294,23,34.99,6.53,4.9,136,20.0,0,0
C0295,4,35.18,6.67,4.12,154,22.8,0,0
C0296,23,38.56,6.99,6.79,652,7.3,1,1
C0297,11,35.52,6.59,4.44,150,14.4,0,0
C0298,24,35.12,6.57,4.73,211,26.1,0,0
C0299,27,35.62,6.59,4.84,96,17.0,0,0
C0300,17,34.72,6.6,5.15,116,16.8,0,0
C0301,6,35.67,6.6,4.55,205,23.3,0,0
C0302,24,37.57,7.16,6.53,509,9.9,1,1
C0303,5,34.5,6.54,5.04,135,19.8,0,0
C0304,20,35.69,6.67,4.79,184,21.4,0,0
C0305,2,36.11,6.77,5.08,164,23.3,0,0
C0306,6,37.59,7.14,6.23,803,10.5,1,1
C0307,22,36.34,6.58,4.35,153,24.6,0,0
C0308,11,38.44,6.89,6.43,565,9.0,1,1
C0309,16,35.15,6.77,4.23,256,22.3,0,0
C0310,16,35.47,6.67,4.9,174,17.5,0,0
C0311,1,35.78,6.6,5.06,152,24.1,0,0
C0312,9,35.54,6.7,5.25,179,20.4,0,0
C0313,28,35.77,6.54,4.95,135,18.0,0,0
C0314,27,35.04,6.72,5.05,246,22.0,0,0
C0315,6,35.58,6.69,4.53,157,22.7,0,0
C0316,16,37.71,6.97,6.39,724,8.2,1,1
C0317,29,35.44,6.57,4.96,117,16.9,0,0
C0318,3,35.05,6.56,4.83,194,18.5,0,0
C0319,20,38.71,7.09,6.13,537,6.6,0,1
C0320,28,36.12,6.77,4.82,130,19.9,0,0
C0321,27,36.05,6.59,4.8,173,22.2,0,0
C0322,4,38.62,7.19,8.09,680,12.1,1,1
C0323,19,34.95,6.44,5.09,157,21.0,0,0
C0324,26,35.34,6.59,4.86,168,19.1,0,0
C0325,3,36.11,6.65,4.95,218,17.5,0,0
C0326,19,35.57,6.56,4.85,119,17.8,0,0
C0327,20,36.66,6.56,4.56,99,19.4,0,0
C0328,7,35.7,6.58,4.93,114,9.2,0,0
C0329,20,37.93,7.22,6.41,564,13.4,1,1
C0330,9,35.35,6.63,5.02,203,17.4,0,0
C0331,1,35.57,6.43,4.34,212,21.6,0,0
C0332,8,35.42,6.44,4.79,163,17.6,0,0
C0333,7,35.85,6.59,4.45,199,19.4,0,0
C0334,18,35.98,6.7,4.87,155,24.6,0,0
C0335,8,35.11,6.38,4.69,146,23.0,0,0
C0336,1,34.83,6.6,4.22,137,22.7,0,0
C0337,11,34.58,6.6,4.83,138,18.5,0,0
C0338,28,37.93,7.13,7.48,817,7.0,0,1
C0339,25,34.95,6.61,4.96,161,19.3,0,0
C0340,25,38.73,7.08,7.26,588,7.6,1,1
C0341,18,35.69,6.66,4.82,180,21.2,0,0
C0342,23,38.15,7.18,7.03,1023,7.1,1,1
C0343,30,35.5,6.73,4.52,143,24.5,0,0
C0344,10,35.92,6.67,4.56,115,19.5,0,0
C0345,3,35.54,6.7,4.96,153,21.9,0,0
C0346,7,35.45,7.04,5.2,180,24.4,0,0
C0347,28,35.96,6.44,4.46,104,23.1,0,0
C0348,16,35.35,6.82,5.02,153,15.8,0,0
C0349,26,35.63,6.62,4.05,159,21.3,0,0
C0350,16,35.66,6.68,4.34,121,22.6,0,0
C0351,25,35.17,6.65,4.41,126,22.7,0,0
C0352,20,36.0,6.61,4.29,159,16.7,0,0
C0353,28,35.41,6.59,4.22,105,18.0,0,0
C0354,17,35.12,6.68,4.82,164,23.0,0,0
C0355,2,35.77,6.5,4.64,114,17.7,0,0
C0356,1,38.82,7.13,7.34,635,8.4,1,1
C0357,16,35.51,6.61,4.91,244,24.7,0,0
C0358,30,35.5,6.54,4.78,116,19.9,0,0
C0359,12,36.04,6.6,4.9,171,17.8,0,0
C0360,5,38.3,7.1,6.31,493,10.2,1,1
C0361,5,35.49,6.6,4.34,192,21.0,0,0
C0362,27,35.91,6.69,5.02,99,16.0,0,0
C0363,23,36.2,6.58,4.52,169,19.3,0,0
C0364,9,35.78,6.73,4.42,115,21.0,0,0
C0365,9,35.51,6.72,4.65,142,23.9,0,0
C0366,3,37.74,7.08,6.67,446,9.5,0,1
C0367,19,37.89,7.42,6.04,469,7.1,0,1
C0368,16,35.35,6.72,4.8,117,23.5,0,0
C0369,16,35.2,6.66,4.8,172,19.1,0,0
C0370,3,37.9,7.09,7.07,596,11.3,1,1
C0371,20,35.53,6.58,4.55,145,19.5,0,0
C0372,24,35.76,6.72,5.02,156,24.3,0,0
C0373,22,35.46,6.63,4.85,120,20.5,0,0
C0374,24,35.74,6.64,5.32,158,20.0,0,0
C0375,1,35.53,6.66,5.05,211,24.9,0,0
C0376,24,34.51,6.68,5.04,119,15.7,0,0
C0377,20,37.41,7.15,6.54,603,8.4,1,1
C0378,11,38.56,7.21,6.91,464,9.4,0,1
C0379,17,34.9,6.81,4.68,117,21.1,0,0
C0380,8,35.8,6.75,4.53,92,20.5,0,0
C0381,4,38.22,7.19,6.53,506,7.2,1,1
C0382,6,38.01,7.02,6.67,702,6.1,1,1
C0383,8,35.39,6.56,4.85,225,18.8,0,0
C0384,20,38.3,7.11,7.4,599,11.8,1,1
C0385,30,37.82,7.18,6.41,705,11.5,1,1
C0386,3,35.33,6.8,4.51,104,15.0,0,0
C0387,16,35.19,6.59,4.77,194,28.1,0,0
C0388,30,35.35,6.63,4.61,127,21.6,0,0
C0389,25,35.31,6.49,4.63,152,20.6,0,0
C0390,3,35.59,6.61,4.93,188,21.8,0,0
C0391,25,38.08,7.03,6.27,549,8.4,1,1
C0392,29,35.5,6.6,5.28,148,19.6,0,0
C0393,18,35.72,6.71,4.15,149,18.1,0,0
C0394,14,36.1,6.63,4.52,177,21.8,0,0
C0395,18,35.97,6.68,4.81,174,21.2,0,0
C0396,2,38.74,7.08,7.64,730,12.9,0,1
C0397,22,34.22,6.66,4.67,153,24.3,0,0
C0398,3,35.97,6.35,4.68,135,20.9,0,0
C0399,16,34.82,6.63,4.82,91,22.2,0,0
C0400,29,35.39,6.49,4.63,160,24.2,0,0
C0401,9,34.91,6.77,5.12,226,20.1,0,0
C0402,4,34.6,6.73,4.95,115,21.0,0,0
C0403,1,35.77,6.7,4.96,119,22.4,0,0
C0404,4,35.88,6.8,4.41,115,17.8,0,0
C0405,1,35.21,6.56,4.68,179,20.2,0,0
C0406,14,34.2,6.82,4.61,168,20.4,0,0
C0407,21,37.81,7.11,5.98,611,8.3,1,1
C0408,16,35.7,6.63,4.81,113,27.0,0,0
C0409,20,34.76,6.76,4.54,154,15.8,0,0
C0410,24,35.59,6.54,4.9,87,16.1,0,0
C0411,8,35.49,6.57,4.38,156,23.9,0,0
C0412,7,35.79,6.59,5.22,185,22.1,0,0
C0413,3,35.56,6.6,4.43,100,16.9,0,0
C0414,17,38.57,7.18,6.34,559,9.4,0,1
C0415,1,36.1,6.77,4.94,213,24.4,0,0
C0416,16,35.42,6.62,4.53,126,19.9,0,0
C0417,12,35.49,6.69,4.96,195,27.8,0,0
C0418,27,37.37,7.23,6.65,591,10.1,1,1
C0419,19,35.28,6.47,5.14,144,22.1,0,0
C0420,22,35.06,6.68,4.7,168,23.5,0,0
C0421,23,35.41,6.46,4.52,115,22.7,0,0
C0422,22,36.36,6.64,4.61,155,19.4,0,0
C0423,14,34.81,6.51,4.94,135,19.1,0,0
C0424,30,38.08,7.02,6.77,740,11.4,1,1
C0425,6,36.24,6.74,4.48,163,22.4,0,0
C0426,6,35.4,6.66,4.63,139,21.8,0,0
C0427,13,35.17,6.78,4.35,144,23.1,0,0
C0428,19,36.02,6.57,5.25,102,16.9,0,0
C0429,22,35.2,6.7,4.53,214,19.3,0,0
C0430,8,36.41,6.67,4.95,185,17.2,0,0
C0431,27,35.84,6.68,4.76,189,18.8,0,0
C0432,27,35.26,6.78,4.4,138,23.0,0,0
C0433,2,36.58,6.72,4.7,81,20.3,0,0
C0434,21,35.2,6.68,4.94,228,27.8,0,0
C0435,30,35.87,6.48,4.64,148,20.6,0,0
C0436,1,35.65,6.55,5.06,120,20.2,0,0
C0437,28,36.15,6.64,5.01,167,20.3,0,0
C0438,15,36.28,6.66,4.98,197,18.1,0,0
C0439,1,37.79,7.12,6.13,597,7.6,1,1
C0440,5,38.29,7.23,5.71,593,8.6,1,1
C0441,28,35.73,6.8,4.52,193,20.3,0,0
C0442,29,35.16,6.71,4.76,107,17.6,0,0
C0443,16,36.51,6.66,4.86,123,17.2,0,0
C0444,19,35.57,6.63,4.05,188,18.6,0,0
C0445,4,35.32,6.55,4.7,41,20.2,0,0
C0446,3,35.59,6.66,4.75,144,23.6,0,0
C0447,17,34.83,6.68,4.62,93,16.0,0,0
C0448,17,35.01,6.53,5.09,131,19.0,0,0
C0449,12,36.1,6.68,4.83,138,20.4,0,0
C0450,28,35.17,6.63,5.09,136,14.5,0,0
C0451,30,34.98,6.46,4.64,128,17.5,0,0
C0452,29,35.77,6.56,4.98,106,18.0,0,0
C0453,14,36.09,6.61,5.19,242,17.6,0,0
C0454,21,35.86,6.84,5.09,225,20.6,0,0
C0455,6,36.0,6.71,4.37,104,19.5,0,0
C0456,3,35.12,6.52,4.62,213,18.3,0,0
C0457,28,34.79,6.7,4.6,134,21.3,0,0
C0458,9,36.25,6.5,4.85,155,25.2,0,0
C0459,5,35.34,6.76,4.91,147,24.9,0,0
C0460,24,35.37,6.6,4.45,124,14.2,0,0
C0461,29,36.16,6.64,4.72,189,21.7,0,0
C0462,17,38.3,7.14,6.54,604,10.2,1,1
C0463,14,38.44,7.01,6.42,705,9.4,1,1
C0464,21,36.58,6.51,4.55,98,18.8,0,0
C0465,3,35.18,6.59,4.72,114,20.4,0,0
C0466,28,35.96,6.75,4.61,84,20.5,0,0
C0467,1,35.53,6.5,5.04,150,18.3,0,0
C0468,20,37.97,7.09,5.81,498,10.5,1,1
C0469,29,36.26,6.6,4.7,139,18.7,0,0
C0470,21,35.75,6.71,4.67,205,20.7,0,0
C0471,23,35.77,6.77,4.56,198,21.8,0,0
C0472,1,36.04,6.6,5.22,149,22.6,0,0
C0473,3,35.32,6.61,4.43,147,18.5,0,0
C0474,18,35.08,6.77,4.93,225,20.9,0,0
C0475,25,34.98,6.46,4.81,171,22.9,0,0
C0476,10,38.66,7.22,7.13,648,9.4,0,1
C0477,22,38.71,6.98,7.28,637,8.3,1,1
C0478,26,34.95,6.69,4.48,166,19.3,0,0
C0479,3,35.39,6.6,5.03,183,20.6,0,0
C0480,8,35.36,6.65,4.83,125,16.6,0,0
C0481,14,35.65,6.4,4.24,162,19.4,0,0
C0482,24,35.91,6.58,4.54,135,22.2,0,0
C0483,18,35.93,6.7,4.82,143,21.9,0,0
C0484,15,35.21,6.55,4.95,50,19.2,0,0
C0485,22,35.42,6.66,4.5,141,20.7,0,0
C0486,23,35.64,6.69,3.83,189,17.5,0,0
C0487,2,35.38,6.62,4.86,125,22.1,0,0
C0488,27,37.52,7.14,7.39,488,6.7,1,1
C0489,10,35.75,6.55,4.09,120,19.2,0,0
C0490,2,35.87,6.63,3.85,164,18.9,0,0
C0491,26,38.05,7.04,6.5,692,12.2,1,1
C0492,17,36.09,6.67,4.74,112,18.7,0,0
C0493,8,38.99,7.2,6.37,655,11.3,1,1
C0494,1,34.85,6.67,5.12,187,18.8,0,0
C0495,9,35.7,6.72,4.89,126,24.8,0,0
